image_path,xmin,ymin,xmax,ymax,label,confidence
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map988.jpg,29,190,55,216,58,0.9579857587814331
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map422.jpg,175,82,201,109,63,0.3856137990951538
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map422.jpg,121,154,147,180,93,0.41975167393684387
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map422.jpg,159,115,185,141,68,0.4826512634754181
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map422.jpg,135,140,161,166,101,0.6292345523834229
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map422.jpg,103,172,129,198,43,0.8085510730743408
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map116.jpg,88,38,114,64,86,0.311280757188797
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map116.jpg,64,43,90,69,63,0.3442523181438446
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map116.jpg,96,195,122,221,63,0.35850226879119873
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map116.jpg,48,215,74,241,154,0.4572244882583618
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map116.jpg,81,147,107,173,8,0.5467047691345215
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map116.jpg,215,147,241,173,108,0.7563772797584534
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map116.jpg,139,80,165,106,129,0.798541247844696
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map116.jpg,202,21,228,47,63,0.9636316895484924
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map180.jpg,42,193,68,219,30,0.5119884014129639
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map180.jpg,90,189,116,215,1,0.6131322979927063
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map180.jpg,216,11,242,37,132,0.617950975894928
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map180.jpg,98,48,124,75,72,0.6980897784233093
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map180.jpg,215,98,241,124,46,0.7885955572128296
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map180.jpg,109,49,135,75,27,0.8662790060043335
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map180.jpg,177,207,203,233,93,0.901684045791626
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map180.jpg,168,72,194,98,60,0.9791873097419739
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map458.jpg,128,149,154,175,67,0.38487914204597473
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map458.jpg,118,152,144,178,71,0.4985361099243164
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map458.jpg,189,95,215,121,46,0.8468093872070312
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map458.jpg,194,77,220,103,51,0.8646065592765808
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map458.jpg,176,111,202,137,71,0.8905934691429138
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map968.jpg,117,73,143,99,15,0.3006296455860138
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map968.jpg,54,180,80,206,93,0.5032387375831604
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map968.jpg,123,106,149,132,15,0.5507164597511292
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map968.jpg,28,51,55,77,46,0.593218207359314
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map968.jpg,78,162,105,188,51,0.6357962489128113
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map968.jpg,123,23,149,49,15,0.8536927103996277
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map968.jpg,168,120,194,146,129,0.915079653263092
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map968.jpg,151,207,177,233,15,0.9923418760299683
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map595.jpg,196,102,222,128,51,0.3060013949871063
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map595.jpg,190,114,216,140,118,0.4715709984302521
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map595.jpg,155,137,181,163,71,0.5383767485618591
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map595.jpg,132,138,158,164,46,0.756452739238739
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map1020.jpg,76,118,102,144,27,0.3986714482307434
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map1020.jpg,181,64,207,90,15,0.6077724695205688
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map1020.jpg,108,174,134,200,1,0.6732054352760315
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map1020.jpg,213,24,239,50,154,0.9326380491256714
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map884.jpg,141,187,167,213,51,0.4750331938266754
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map884.jpg,127,116,153,142,46,0.5040194392204285
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map884.jpg,19,69,45,95,132,0.6050944328308105
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map884.jpg,111,24,137,50,63,0.6274448037147522
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map884.jpg,48,173,74,199,142,0.6347171068191528
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map884.jpg,156,129,182,155,46,0.7969391345977783
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map884.jpg,24,172,50,198,120,0.8036144971847534
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map79.jpg,129,77,156,103,68,0.40322035551071167
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map79.jpg,171,146,197,172,132,0.8526941537857056
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map79.jpg,153,100,179,126,15,0.9365684986114502
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map79.jpg,115,59,141,85,46,0.9389781951904297
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map911.jpg,127,31,153,57,118,0.36497583985328674
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map911.jpg,108,71,134,97,63,0.4390118420124054
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map911.jpg,113,57,139,83,86,0.4872853457927704
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map911.jpg,91,87,117,113,46,0.6940032839775085
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map911.jpg,79,83,105,109,27,0.7128274440765381
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map911.jpg,53,107,79,133,8,0.7609924077987671
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map329.jpg,169,173,195,199,46,0.4237774908542633
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map329.jpg,51,74,77,100,100,0.4864579737186432
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map329.jpg,73,34,99,60,27,0.7383923530578613
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map329.jpg,51,39,77,65,95,0.8639020919799805
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map329.jpg,99,186,125,212,8,0.9867783784866333
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map473.jpg,146,117,172,143,63,0.786776065826416
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map473.jpg,91,149,117,175,36,0.8740492463111877
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map473.jpg,197,63,223,89,63,0.9615811705589294
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map473.jpg,79,81,105,107,43,0.9630281329154968
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map473.jpg,18,91,44,117,100,0.9965723156929016
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map946.jpg,113,100,139,126,132,0.3098594546318054
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map946.jpg,93,74,119,100,25,0.3397156596183777
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map946.jpg,132,130,158,156,63,0.45306795835494995
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map946.jpg,102,93,128,119,8,0.5766216516494751
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map533.jpg,195,69,221,95,1,0.3586345613002777
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map533.jpg,175,129,201,155,132,0.40117889642715454
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map533.jpg,226,160,252,186,25,0.5182390809059143
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map533.jpg,69,122,95,148,46,0.62305748462677
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map533.jpg,199,101,225,127,1,0.6840782165527344
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map533.jpg,208,167,234,193,46,0.7868809700012207
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map533.jpg,43,217,69,243,71,0.9790299534797668
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map363.jpg,155,42,181,68,98,0.47434571385383606
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map363.jpg,127,70,153,96,46,0.9612496495246887
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map468.jpg,38,82,64,108,46,0.4553833603858948
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map468.jpg,56,62,82,88,154,0.4714152216911316
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map468.jpg,93,82,119,108,138,0.5923757553100586
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map468.jpg,58,198,84,224,1,0.6470693349838257
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map468.jpg,212,49,238,75,30,0.7962253093719482
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map468.jpg,102,43,128,70,95,0.8729586005210876
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map770.jpg,131,91,157,117,68,0.35184234380722046
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map770.jpg,62,140,88,166,98,0.7250611782073975
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map770.jpg,76,119,102,145,51,0.9777603149414062
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map770.jpg,117,95,143,121,154,0.9857363104820251
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map431.jpg,88,61,114,87,118,0.35484781861305237
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map431.jpg,107,82,133,108,86,0.4641711115837097
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map431.jpg,75,53,101,79,27,0.48738351464271545
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map435.jpg,113,151,139,177,118,0.32602596282958984
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map435.jpg,90,137,116,163,15,0.33918923139572144
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map435.jpg,121,169,147,195,100,0.4421902000904083
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map435.jpg,75,131,101,158,35,0.4960940480232239
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map435.jpg,109,142,135,168,154,0.613369345664978
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map435.jpg,137,191,163,217,108,0.7939539551734924
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map435.jpg,61,124,87,150,63,0.9665335416793823
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map327.jpg,102,188,128,214,89,0.40509045124053955
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map327.jpg,97,178,123,204,154,0.4185948371887207
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map327.jpg,73,134,99,160,100,0.44691237807273865
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map327.jpg,117,193,143,219,27,0.4842827022075653
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map327.jpg,91,158,117,184,35,0.9412106275558472
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map517.jpg,126,94,153,120,27,0.32619020342826843
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map517.jpg,84,17,110,43,120,0.36586669087409973
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map517.jpg,93,155,119,181,36,0.7051465511322021
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map517.jpg,142,192,168,218,8,0.8573415875434875
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map517.jpg,75,189,101,215,95,0.8748453855514526
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map517.jpg,20,187,46,213,31,0.882614016532898
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map517.jpg,43,112,69,138,15,0.9460827708244324
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map517.jpg,214,89,240,115,60,0.9493225812911987
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map261.jpg,138,193,164,219,118,0.3320413827896118
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map261.jpg,128,159,154,185,132,0.3696706295013428
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map261.jpg,213,205,239,231,132,0.44762974977493286
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map261.jpg,28,92,54,118,86,0.4529127776622772
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map261.jpg,20,110,46,136,63,0.5386911630630493
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map261.jpg,57,130,83,156,46,0.7067045569419861
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map261.jpg,137,13,163,39,89,0.9115510582923889
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map399.jpg,158,148,184,174,132,0.32775354385375977
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map399.jpg,177,130,203,156,46,0.33912503719329834
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map399.jpg,139,160,165,186,100,0.36479559540748596
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map399.jpg,196,101,222,127,68,0.3881038725376129
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map399.jpg,121,168,147,194,132,0.4106575548648834
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map399.jpg,189,113,215,139,132,0.46147096157073975
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map399.jpg,159,137,185,163,15,0.5255496501922607
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map58.jpg,57,172,83,198,63,0.3847312927246094
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map58.jpg,44,180,70,206,68,0.5539434552192688
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map448.jpg,137,43,163,69,63,0.33138489723205566
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map448.jpg,121,71,147,97,132,0.33606085181236267
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map448.jpg,152,97,178,123,71,0.3823818564414978
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map448.jpg,39,197,65,223,132,0.38737624883651733
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map448.jpg,93,140,120,166,108,0.45616820454597473
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map448.jpg,89,31,116,57,132,0.4913867712020874
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map448.jpg,208,31,234,57,46,0.5245798826217651
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map448.jpg,63,49,90,75,47,0.9371957182884216
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map448.jpg,122,87,148,113,86,0.9687880873680115
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map378.jpg,44,135,70,161,47,0.30335694551467896
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map378.jpg,92,69,119,95,132,0.3343011736869812
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map378.jpg,73,91,100,118,8,0.3888595700263977
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map378.jpg,45,117,71,143,132,0.6459077596664429
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map807.jpg,132,135,158,161,46,0.3536711633205414
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map807.jpg,92,100,118,126,44,0.3583051860332489
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map807.jpg,96,119,122,145,120,0.5760527849197388
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map807.jpg,119,122,146,148,27,0.7777800559997559
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map807.jpg,149,151,175,177,15,0.9432855248451233
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map807.jpg,97,127,123,154,120,0.95545893907547
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map807.jpg,171,166,197,192,15,0.9971042275428772
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map252.jpg,126,37,152,63,118,0.31185585260391235
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map252.jpg,61,84,87,110,63,0.3388226628303528
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map252.jpg,74,120,100,146,132,0.37769728899002075
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map252.jpg,209,215,235,241,46,0.5222095251083374
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map252.jpg,104,64,130,91,80,0.8885915875434875
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map600.jpg,84,138,110,164,78,0.31552478671073914
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map600.jpg,162,163,188,189,63,0.4046318829059601
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map600.jpg,58,82,84,108,1,0.41272634267807007
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map600.jpg,217,192,243,218,46,0.428751140832901
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map600.jpg,28,54,54,80,46,0.5207928419113159
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map600.jpg,206,160,232,186,46,0.5394150614738464
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map600.jpg,112,74,138,100,46,0.6081048846244812
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map600.jpg,94,180,120,206,132,0.6512548327445984
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map693.jpg,172,216,198,242,118,0.3265712261199951
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map693.jpg,101,117,127,143,124,0.34929385781288147
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map693.jpg,91,178,117,204,68,0.3817049264907837
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map693.jpg,40,84,66,110,44,0.40294402837753296
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map693.jpg,78,56,104,82,15,0.6467354893684387
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map693.jpg,139,93,165,119,15,0.6580475568771362
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map693.jpg,116,123,142,149,15,0.8249738216400146
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map693.jpg,146,19,173,45,132,0.8922991156578064
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map693.jpg,21,159,47,185,67,0.9735320806503296
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map46.jpg,62,89,88,115,17,0.3662187159061432
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map46.jpg,80,70,106,96,119,0.38206228613853455
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map46.jpg,57,137,83,163,63,0.3970441520214081
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map46.jpg,60,114,87,140,132,0.5056772232055664
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map991.jpg,128,161,154,187,25,0.6619082689285278
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map991.jpg,43,202,69,228,63,0.8371567130088806
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map398.jpg,62,122,88,148,47,0.3025294244289398
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map398.jpg,20,176,46,202,71,0.4655579924583435
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map398.jpg,54,149,80,175,8,0.5091146230697632
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map398.jpg,40,156,66,182,71,0.5252143740653992
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map50.jpg,122,195,148,221,63,0.3203810751438141
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map50.jpg,110,179,136,205,132,0.32950639724731445
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map50.jpg,97,170,123,196,63,0.3380376100540161
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map50.jpg,58,130,85,156,63,0.34508031606674194
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map50.jpg,74,140,100,167,154,0.3934602737426758
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map50.jpg,48,118,74,144,129,0.48644211888313293
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map50.jpg,92,158,118,184,132,0.5315910577774048
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map43.jpg,138,148,164,174,8,0.3261632025241852
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map43.jpg,97,81,123,107,108,0.438192218542099
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map43.jpg,81,70,107,96,1,0.9121822118759155
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map43.jpg,117,113,143,139,46,0.973414957523346
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map627.jpg,129,55,155,81,86,0.33297955989837646
