image,xmin,xmax,ymin,ymax,label
map13.jpg,111,19,137,45,67
map13.jpg,67,197,93,223,68
map13.jpg,111,15,137,41,69
map14.jpg,165,203,191,229,70
map14.jpg,192,210,218,236,71
map14.jpg,137,42,163,68,72
map14.jpg,76,172,102,198,73
map14.jpg,104,70,130,96,74
map14.jpg,46,41,72,67,75
map14.jpg,154,193,180,219,76
map14.jpg,91,198,117,224,77
map14.jpg,172,187,198,213,78
map14.jpg,22,139,48,165,79
map15.jpg,178,35,204,61,70
map15.jpg,26,29,52,55,71
map15.jpg,172,217,198,243,72
map15.jpg,148,100,174,126,73
map15.jpg,187,164,213,190,74
map15.jpg,162,187,188,213,75
map15.jpg,139,180,165,206,76
map15.jpg,164,198,190,224,77
map15.jpg,142,22,168,48,78
map15.jpg,46,89,72,115,79
map16.jpg,195,60,221,86,80
map16.jpg,29,18,55,44,81
map16.jpg,202,211,228,237,82
map16.jpg,153,25,179,51,83
map16.jpg,38,47,64,73,84
map16.jpg,212,81,238,107,85
map16.jpg,79,78,105,104,86
map16.jpg,56,180,82,206,87
map16.jpg,117,52,143,78,88
map16.jpg,196,187,222,213,89
map17.jpg,13,91,39,117,80
map17.jpg,184,21,210,47,81
map17.jpg,154,42,180,68,82
map17.jpg,201,98,227,124,83
map17.jpg,120,195,146,221,84
map17.jpg,214,180,240,206,85
map17.jpg,50,217,76,243,86
map17.jpg,215,202,241,228,87
map17.jpg,181,59,207,85,88
map17.jpg,50,200,76,226,89
map18.jpg,197,111,223,137,90
map18.jpg,191,125,217,151,91
map18.jpg,135,24,161,50,92
map18.jpg,106,137,132,163,93
map18.jpg,168,104,194,130,94
map18.jpg,127,181,153,207,95
map18.jpg,94,170,120,196,96
map18.jpg,154,23,180,49,97
map18.jpg,17,209,43,235,98
map18.jpg,201,59,227,85,99
map19.jpg,140,41,166,67,90
map19.jpg,93,34,119,60,91
map19.jpg,130,144,156,170,92
map19.jpg,193,20,219,46,93
map19.jpg,62,35,88,61,94
map19.jpg,203,72,229,98,95
map19.jpg,25,178,51,204,96
map19.jpg,39,42,65,68,97
map19.jpg,78,185,104,211,98
map19.jpg,91,93,117,119,99
map20.jpg,71,217,97,243,100
map20.jpg,181,97,207,123,101
map20.jpg,150,35,176,61,102
map20.jpg,96,208,122,234,103
map20.jpg,130,110,156,136,104
map20.jpg,106,86,132,112,105
map20.jpg,95,18,121,44,106
map20.jpg,13,56,39,82,107
map20.jpg,206,30,232,56,108
map20.jpg,88,167,114,193,109
map21.jpg,16,162,42,188,100
map21.jpg,213,79,239,105,101
map21.jpg,126,162,152,188,102
map21.jpg,129,163,155,189,103
map21.jpg,89,28,115,54,104
map21.jpg,113,56,139,82,105
map21.jpg,65,202,91,228,106
map21.jpg,177,72,203,98,107
map21.jpg,79,187,105,213,108
map21.jpg,83,143,109,169,109
map22.jpg,208,200,234,226,110
map22.jpg,83,96,109,122,111
map22.jpg,192,133,218,159,112
map22.jpg,63,73,99,109,148
map22.jpg,63,73,89,99,113
map22.jpg,131,210,157,236,114
map22.jpg,49,176,75,202,115
map22.jpg,165,190,191,216,116
map22.jpg,200,186,226,212,117
map22.jpg,110,55,136,81,118
map22.jpg,58,212,84,238,119
map23.jpg,175,30,201,56,110
map23.jpg,46,189,72,215,111
map23.jpg,177,65,203,91,112
map23.jpg,135,47,161,73,113
map23.jpg,190,69,216,95,114
map23.jpg,165,38,191,64,115
map23.jpg,95,192,121,218,116
map23.jpg,106,117,132,143,117
map23.jpg,87,65,113,91,118
map23.jpg,105,194,131,220,119
map24.jpg,80,93,106,119,120
map24.jpg,104,167,130,193,121
map24.jpg,118,114,144,140,122
map24.jpg,50,159,76,185,123
map24.jpg,27,107,53,133,124
map24.jpg,186,73,212,99,125
map24.jpg,75,68,101,94,126
map24.jpg,198,191,224,217,127
map24.jpg,182,187,208,213,128
map24.jpg,100,133,126,159,129
map25.jpg,13,204,39,230,120
map25.jpg,213,62,239,88,121
map25.jpg,166,141,192,167,122
map25.jpg,120,58,146,84,123
map25.jpg,117,32,143,58,124
map25.jpg,60,13,86,39,125
map25.jpg,15,192,41,218,126
map25.jpg,78,178,104,204,127
map25.jpg,30,20,56,46,128
map25.jpg,181,186,207,212,129
map26.jpg,48,24,74,50,130
map26.jpg,174,186,200,212,131
map26.jpg,186,54,212,80,132
map26.jpg,126,149,152,175,133
map26.jpg,115,139,141,165,134
map26.jpg,15,42,41,68,135
map26.jpg,123,116,149,142,136
map26.jpg,98,102,124,128,137
map26.jpg,96,35,122,61,138
map26.jpg,25,112,51,138,139
map27.jpg,126,147,152,173,130
map27.jpg,118,204,144,230,131
map27.jpg,75,93,101,119,132
map27.jpg,42,170,68,196,133
map27.jpg,111,138,137,164,134
map27.jpg,129,51,155,77,135
map27.jpg,18,39,44,65,136
map27.jpg,69,58,95,84,137
map27.jpg,56,147,82,173,138
map27.jpg,172,179,198,205,139
map28.jpg,117,95,143,121,140
map28.jpg,184,55,210,81,141
map28.jpg,212,21,238,47,142
map28.jpg,151,48,177,74,143
map28.jpg,74,35,100,61,144
map28.jpg,185,170,211,196,145
map28.jpg,112,120,138,146,146
map28.jpg,24,78,50,104,147
map28.jpg,202,64,228,90,148
map28.jpg,78,16,104,42,149
map29.jpg,168,145,194,171,140
map29.jpg,185,64,211,90,141
map29.jpg,190,74,216,100,142
map29.jpg,61,199,87,225,143
map29.jpg,71,181,97,207,144
map29.jpg,58,87,84,113,145
map29.jpg,69,164,95,190,146
map29.jpg,136,149,162,175,147
map29.jpg,158,166,184,192,148
map29.jpg,176,175,202,201,149
map30.jpg,81,40,107,66,150
map30.jpg,46,18,72,44,151
map30.jpg,200,53,226,79,152
map30.jpg,17,87,43,113,153
map30.jpg,134,168,160,194,154
map31.jpg,177,138,203,164,150
map31.jpg,21,80,47,106,151
map31.jpg,95,34,121,60,152
map31.jpg,60,115,86,141,153
map31.jpg,201,34,227,60,154
map32.jpg,72,183,98,209,121
map32.jpg,179,81,205,107,99
map32.jpg,173,142,199,168,94
map32.jpg,168,177,194,203,9
map32.jpg,43,116,69,142,4
map32.jpg,24,128,50,154,33
map32.jpg,49,78,75,104,61
map32.jpg,35,135,61,161,128
map32.jpg,136,52,162,78,55
map32.jpg,48,99,74,125,109
map33.jpg,39,104,65,130,121
map33.jpg,98,169,124,195,99
map33.jpg,151,177,177,203,94
map33.jpg,24,199,50,225,9
map33.jpg,194,39,220,65,4
map33.jpg,55,115,81,141,33
map33.jpg,41,201,67,227,61
map33.jpg,152,20,178,46,128
map33.jpg,146,109,172,135,55
map33.jpg,115,217,141,243,109
map34.jpg,87,110,113,136,151
map34.jpg,87,21,113,47,81
map34.jpg,183,111,209,137,83
map34.jpg,155,149,181,175,90
map34.jpg,194,210,220,236,49
map34.jpg,117,42,143,68,104
map34.jpg,85,217,111,243,88
map34.jpg,51,110,77,136,53
map34.jpg,25,18,51,44,62
map34.jpg,194,113,220,139,0
map35.jpg,172,201,198,227,151
map35.jpg,24,183,50,209,81
map35.jpg,110,55,136,81,83
map35.jpg,22,17,48,43,90
map35.jpg,35,41,61,67,49
map35.jpg,75,131,101,157,104
map35.jpg,16,78,42,104,88
map35.jpg,84,182,110,208,53
map35.jpg,59,75,85,101,62
map35.jpg,185,147,211,173,0
map36.jpg,87,99,113,125,96
map36.jpg,117,132,143,158,57
map36.jpg,159,108,185,134,122
map36.jpg,38,85,74,121,148
map36.jpg,38,85,64,111,92
map36.jpg,121,17,147,43,39
map36.jpg,118,58,144,84,124
map36.jpg,99,132,125,158,67
map36.jpg,141,119,167,145,114
map36.jpg,78,99,104,125,150
map36.jpg,194,128,220,154,87
map37.jpg,28,162,54,188,96
map37.jpg,138,25,164,51,57
map37.jpg,33,120,59,146,122
map37.jpg,63,69,89,95,92
map37.jpg,213,116,239,142,39
map37.jpg,138,63,164,89,124
map37.jpg,129,153,155,179,67
map37.jpg,54,126,80,152,114
map37.jpg,214,19,240,45,150
map37.jpg,56,167,82,193,87
map38.jpg,203,135,229,161,144
map38.jpg,186,132,212,158,73
map38.jpg,95,96,121,122,145
map38.jpg,35,151,61,177,43
map38.jpg,180,61,206,87,126
map38.jpg,59,40,85,66,69
map38.jpg,23,182,49,208,130
map38.jpg,21,55,47,81,149
map38.jpg,82,27,108,53,48
map38.jpg,155,79,181,105,148
map39.jpg,74,121,100,147,144
map39.jpg,155,134,181,160,73
map39.jpg,81,130,107,156,145
map39.jpg,142,201,168,227,43
map39.jpg,128,196,154,222,126
map39.jpg,106,71,132,97,69
map39.jpg,17,205,43,231,130
map39.jpg,38,59,64,85,149
map39.jpg,109,23,135,49,48
map39.jpg,35,141,61,167,148
map40.jpg,52,126,78,152,132
map40.jpg,147,123,173,149,44
map40.jpg,36,70,62,96,112
map40.jpg,32,160,58,186,23
map40.jpg,124,48,150,74,82
map40.jpg,44,200,70,226,54
map40.jpg,201,31,227,57,146
map40.jpg,177,190,203,216,100
map40.jpg,185,63,211,89,78
map40.jpg,62,114,88,140,40
map41.jpg,149,107,175,133,132
map41.jpg,147,182,173,208,44
map41.jpg,61,111,87,137,112
map41.jpg,123,186,149,212,23
map41.jpg,212,84,238,110,82
map41.jpg,30,69,56,95,54
map41.jpg,18,80,44,106,146
map41.jpg,104,29,130,55,100
map41.jpg,207,190,233,216,78
map41.jpg,205,84,231,110,40
map42.jpg,208,92,234,118,3
map42.jpg,166,141,192,167,84
map42.jpg,217,120,243,146,152
map42.jpg,131,179,157,205,8
map42.jpg,210,72,236,98,120
map42.jpg,193,176,219,202,105
map42.jpg,34,94,60,120,60
map42.jpg,44,45,70,71,93
map42.jpg,172,54,198,80,19
map42.jpg,49,165,75,191,41
map43.jpg,147,23,173,49,3
map43.jpg,62,128,88,154,84
map43.jpg,82,173,108,199,152
map43.jpg,91,149,117,175,8
map43.jpg,196,28,222,54,120
map43.jpg,152,105,178,131,105
map43.jpg,204,136,230,162,60
map43.jpg,64,93,90,119,93
map43.jpg,68,181,94,207,19
map43.jpg,98,110,124,136,41
map44.jpg,195,189,221,215,50
map44.jpg,216,48,242,74,116
map44.jpg,35,80,61,106,46
map44.jpg,191,139,217,165,18
map44.jpg,158,194,184,220,32
map44.jpg,96,157,122,183,14
map44.jpg,206,104,232,130,75
map44.jpg,159,159,185,185,103
map44.jpg,114,115,140,141,29
map44.jpg,124,23,150,49,137
map45.jpg,97,109,123,135,50
map45.jpg,87,117,113,143,116
map45.jpg,30,131,56,157,46
map45.jpg,174,164,200,190,18
map45.jpg,69,160,95,186,32
map45.jpg,63,172,89,198,14
map45.jpg,23,79,49,105,75
map45.jpg,70,85,96,111,103
map45.jpg,90,159,116,185,29
map45.jpg,200,39,226,65,137
map46.jpg,157,35,183,61,59
map46.jpg,210,176,236,202,147
map46.jpg,123,80,149,106,38
map46.jpg,131,170,157,196,125
map46.jpg,36,214,62,240,66
map46.jpg,136,50,162,76,111
map46.jpg,29,78,55,104,42
map46.jpg,96,202,122,228,102
map46.jpg,39,166,65,192,74
map46.jpg,141,78,167,104,25
map47.jpg,24,191,50,217,59
map47.jpg,17,191,43,217,147
map47.jpg,205,164,231,190,38
map47.jpg,41,166,67,192,125
map47.jpg,82,22,108,48,66
map47.jpg,107,189,133,215,111
map47.jpg,65,56,91,82,42
map47.jpg,124,24,150,50,102
map47.jpg,71,119,97,145,74
map47.jpg,50,171,76,197,25
map48.jpg,21,144,47,170,141
map48.jpg,216,90,242,116,133
map48.jpg,108,168,134,194,101
map48.jpg,86,177,112,203,52
map48.jpg,90,142,116,168,16
map48.jpg,108,158,134,184,119
map48.jpg,32,201,58,227,154
map48.jpg,165,39,191,65,107
map48.jpg,156,123,182,149,24
map48.jpg,73,34,99,60,37
map49.jpg,212,25,238,51,141
map49.jpg,184,176,210,202,133
map49.jpg,108,193,134,219,101
map49.jpg,87,146,113,172,52
map49.jpg,52,110,78,136,16
map49.jpg,144,111,170,137,119
map49.jpg,127,164,153,190,154
map49.jpg,28,21,54,47,107
map49.jpg,23,55,49,81,24
map49.jpg,155,17,181,43,37
map50.jpg,19,58,45,84,117
map50.jpg,215,26,241,52,80
map50.jpg,175,117,201,143,123
map50.jpg,155,118,181,144,35
map50.jpg,140,150,166,176,113
map50.jpg,79,203,105,229,63
map50.jpg,54,148,80,174,72
map50.jpg,99,63,125,89,136
map50.jpg,143,98,169,124,58
map50.jpg,139,160,165,186,134
map51.jpg,157,49,183,75,117
map51.jpg,15,53,41,79,80
map51.jpg,205,153,231,179,123
map51.jpg,63,193,89,219,35
map51.jpg,17,124,43,150,113
map51.jpg,84,83,110,109,63
map51.jpg,149,119,175,145,72
map51.jpg,137,128,163,154,136
map51.jpg,32,30,58,56,58
map51.jpg,120,86,146,112,134
map52.jpg,84,117,110,143,65
map52.jpg,69,75,95,101,45
map52.jpg,66,153,92,179,31
map52.jpg,193,135,219,161,27
map52.jpg,105,103,131,129,89
map52.jpg,17,197,43,223,79
map52.jpg,114,127,140,153,47
map52.jpg,190,126,216,152,11
map52.jpg,130,88,156,114,34
map52.jpg,153,216,179,242,21
map53.jpg,26,161,52,187,65
map53.jpg,69,32,95,58,45
map53.jpg,181,88,207,114,31
map53.jpg,178,84,204,110,27
map53.jpg,187,102,213,128,89
map53.jpg,47,23,73,49,79
map53.jpg,31,102,57,128,47
map53.jpg,163,184,189,210,11
map53.jpg,136,87,162,113,34
map53.jpg,183,13,209,39,21
map54.jpg,216,52,242,78,85
map54.jpg,192,123,218,149,71
map54.jpg,75,200,101,226,7
map54.jpg,127,198,153,224,106
map54.jpg,93,111,119,137,108
map54.jpg,138,59,164,85,143
map54.jpg,44,174,70,200,10
map54.jpg,96,121,122,147,98
map54.jpg,93,150,119,176,6
map54.jpg,204,46,230,72,129
map55.jpg,74,214,100,240,85
map55.jpg,144,193,170,219,71
map55.jpg,55,202,81,228,7
map55.jpg,87,141,113,167,106
map55.jpg,202,97,228,123,108
map55.jpg,185,131,211,157,143
map55.jpg,38,59,64,85,10
map55.jpg,189,67,215,93,98
map55.jpg,59,53,85,79,6
map55.jpg,105,59,131,85,129
map56.jpg,179,59,205,85,118
map56.jpg,153,45,179,71,51
map56.jpg,38,139,64,165,127
map56.jpg,79,161,105,187,28
map56.jpg,72,152,98,178,56
map56.jpg,143,55,169,81,2
map56.jpg,115,112,141,138,12
map56.jpg,21,208,47,234,30
map56.jpg,206,84,232,110,15
map56.jpg,139,155,165,181,20
map57.jpg,181,171,207,197,118
map57.jpg,172,87,198,113,51
map57.jpg,87,108,113,134,127
map57.jpg,66,40,92,66,28
map57.jpg,37,84,63,110,56
map57.jpg,187,110,213,136,2
map57.jpg,195,70,221,96,12
map57.jpg,217,174,243,200,30
map57.jpg,65,145,91,171,15
map57.jpg,79,103,105,129,20
map58.jpg,173,64,199,90,153
map58.jpg,145,212,171,238,26
map58.jpg,201,188,227,214,97
map58.jpg,193,55,219,81,110
map58.jpg,100,21,126,47,76
map58.jpg,107,173,133,199,17
map58.jpg,118,36,144,62,115
map58.jpg,17,89,43,115,138
map58.jpg,183,49,209,75,131
map58.jpg,18,132,44,158,95
map59.jpg,72,147,98,173,153
map59.jpg,141,178,167,204,26
map59.jpg,132,23,158,49,97
map59.jpg,176,23,202,49,110
map59.jpg,208,36,234,62,76
map59.jpg,84,167,110,193,17
map59.jpg,47,92,73,118,115
map59.jpg,146,160,172,186,138
map59.jpg,137,199,163,225,131
map59.jpg,20,94,46,120,95
map60.jpg,53,110,79,136,91
map60.jpg,171,91,197,117,64
map60.jpg,87,96,113,122,139
map60.jpg,21,88,47,114,142
map60.jpg,177,35,203,61,1
map60.jpg,129,163,155,189,5
map60.jpg,54,174,80,200,68
map60.jpg,109,103,135,129,13
map60.jpg,42,44,68,70,140
map60.jpg,149,40,175,66,36
map61.jpg,24,199,50,225,91
map61.jpg,38,124,64,150,64
map61.jpg,84,116,110,142,139
map61.jpg,52,75,78,101,142
map61.jpg,100,142,126,168,1
map61.jpg,111,66,137,92,5
map61.jpg,128,171,154,197,68
map61.jpg,136,199,162,225,13
map61.jpg,164,120,190,146,140
map61.jpg,160,133,186,159,36
map62.jpg,50,15,76,41,77
map62.jpg,207,80,233,106,135
map62.jpg,34,49,60,75,22
map62.jpg,32,141,58,167,86
map62.jpg,215,181,241,207,70
map63.jpg,133,46,159,72,77
map63.jpg,174,174,200,200,135
map63.jpg,96,141,122,167,22
map63.jpg,57,165,83,191,86
map63.jpg,174,150,200,176,70
map64.jpg,25,216,51,242,40
map64.jpg,78,21,104,47,133
map64.jpg,111,24,137,50,125
map64.jpg,51,209,77,235,110
map64.jpg,128,189,154,215,95
map64.jpg,29,186,55,212,13
map64.jpg,110,41,136,67,93
map64.jpg,59,116,85,142,2
map64.jpg,39,118,65,144,107
map64.jpg,148,204,174,230,29
map65.jpg,192,106,218,132,40
map65.jpg,145,73,171,99,133
map65.jpg,146,126,172,152,125
map65.jpg,85,126,111,152,110
map65.jpg,159,169,185,195,95
map65.jpg,114,119,140,145,13
map65.jpg,89,17,115,43,93
map65.jpg,61,73,87,99,2
map65.jpg,75,39,101,65,107
map65.jpg,146,113,172,139,29
map66.jpg,104,31,130,57,112
map66.jpg,139,126,165,152,6
map66.jpg,197,166,223,192,24
map66.jpg,60,83,86,109,105
map66.jpg,45,217,71,243,41
map66.jpg,140,70,166,96,79
map66.jpg,191,155,217,181,33
map66.jpg,150,169,176,195,77
map66.jpg,122,153,148,179,124
map66.jpg,115,37,141,63,90
map67.jpg,182,217,208,243,112
map67.jpg,54,74,80,100,6
map67.jpg,140,133,166,159,24
map67.jpg,154,69,180,95,105
map67.jpg,75,21,101,47,41
map67.jpg,182,163,208,189,79
map67.jpg,122,141,148,167,33
map67.jpg,158,151,184,177,77
map67.jpg,155,106,181,132,124
map67.jpg,157,189,183,215,90
map68.jpg,37,69,63,95,126
map68.jpg,44,66,70,92,53
map68.jpg,181,112,207,138,75
map68.jpg,153,38,179,64,102
map68.jpg,115,208,141,234,84
map68.jpg,203,106,229,132,76
map68.jpg,115,36,141,62,58
map68.jpg,172,194,198,220,15
map68.jpg,167,47,193,73,28
map68.jpg,205,36,231,62,36
map69.jpg,40,201,66,227,126
map69.jpg,189,178,215,204,53
map69.jpg,91,85,117,111,75
map69.jpg,18,177,44,203,102
map69.jpg,51,77,77,103,84
map69.jpg,93,168,119,194,76
map69.jpg,52,155,78,181,58
map69.jpg,62,162,88,188,15
map69.jpg,86,147,112,173,28
map69.jpg,214,26,240,52,36
map70.jpg,166,118,192,144,80
map70.jpg,91,146,117,172,38
map70.jpg,81,31,107,57,20
map70.jpg,155,59,181,85,35
map70.jpg,180,45,206,71,59
map70.jpg,124,64,150,90,5
map70.jpg,140,125,166,151,141
map70.jpg,205,20,231,46,86
map70.jpg,113,166,139,192,64
map70.jpg,27,207,53,233,7
map71.jpg,123,85,149,111,80
map71.jpg,75,31,101,57,38
map71.jpg,16,118,42,144,20
map71.jpg,41,185,67,211,35
map71.jpg,81,41,107,67,59
map71.jpg,73,215,99,241,5
map71.jpg,162,134,188,160,141
map71.jpg,119,123,145,149,86
map71.jpg,62,213,88,239,64
map71.jpg,169,99,195,125,7
map72.jpg,216,149,242,175,14
map72.jpg,193,198,219,224,118
map72.jpg,116,20,142,46,1
map72.jpg,179,100,205,126,10
map72.jpg,143,211,169,237,31
map72.jpg,89,147,115,173,22
map72.jpg,25,157,51,183,21
map72.jpg,127,58,153,84,123
map72.jpg,177,113,203,139,32
map72.jpg,54,110,80,136,143
map73.jpg,144,24,170,50,14
map73.jpg,216,50,242,76,118
map73.jpg,214,173,240,199,1
map73.jpg,113,202,139,228,10
map73.jpg,199,45,235,81,148
map73.jpg,199,45,225,71,31
map73.jpg,58,204,84,230,22
map73.jpg,203,43,229,69,21
map73.jpg,217,44,243,70,123
map73.jpg,136,45,162,71,32
map73.jpg,13,118,39,144,143
map74.jpg,17,115,43,141,0
map74.jpg,173,214,199,240,54
map74.jpg,36,75,62,101,122
map74.jpg,59,200,85,226,34
map74.jpg,129,43,155,69,71
map74.jpg,195,58,221,84,120
map74.jpg,177,35,203,61,104
map74.jpg,115,120,141,146,151
map74.jpg,184,186,210,212,37
map74.jpg,170,20,196,46,50
map75.jpg,74,154,100,180,0
map75.jpg,210,86,236,112,54
map75.jpg,96,151,122,177,122
map75.jpg,204,187,230,213,34
map75.jpg,109,106,135,132,71
map75.jpg,124,144,150,170,120
map75.jpg,109,95,135,121,104
map75.jpg,170,33,196,59,151
map75.jpg,17,94,43,120,37
map75.jpg,167,210,193,236,50
map76.jpg,42,90,68,116,44
map76.jpg,85,68,111,94,140
map76.jpg,85,18,111,44,73
map76.jpg,203,90,229,116,111
map76.jpg,42,151,68,177,117
map76.jpg,35,185,61,211,42
map76.jpg,36,46,62,72,4
map76.jpg,80,109,106,135,68
map76.jpg,59,161,85,187,30
map76.jpg,214,174,240,200,45
map77.jpg,99,92,125,118,44
map77.jpg,146,105,172,131,140
map77.jpg,190,55,216,81,73
map77.jpg,57,92,83,118,111
map77.jpg,96,138,122,164,117
map77.jpg,56,116,82,142,42
map77.jpg,169,209,195,235,4
map77.jpg,93,146,119,172,68
map77.jpg,152,99,178,125,30
map77.jpg,149,71,175,97,45
map78.jpg,45,214,71,240,9
map78.jpg,32,123,58,149,66
map78.jpg,150,156,176,182,88
map78.jpg,189,216,215,242,106
map78.jpg,86,156,112,182,63
map78.jpg,116,138,142,164,97
map78.jpg,84,15,110,41,11
map78.jpg,186,81,212,107,55
map78.jpg,52,38,78,64,147
map78.jpg,191,169,217,195,49
map79.jpg,29,64,55,90,9
map79.jpg,78,152,104,178,66
map79.jpg,37,201,63,227,88
map79.jpg,110,72,136,98,106
map79.jpg,203,103,229,129,63
map79.jpg,49,22,75,48,97
map79.jpg,96,61,122,87,11
map79.jpg,74,183,100,209,55
map79.jpg,67,184,93,210,147
map79.jpg,33,27,59,53,49
map80.jpg,118,198,144,224,130
map80.jpg,23,34,49,60,46
map80.jpg,100,65,126,91,150
map80.jpg,93,121,119,147,98
map80.jpg,120,132,146,158,82
map80.jpg,198,72,224,98,57
map80.jpg,125,33,151,59,131
map80.jpg,192,177,218,203,94
map80.jpg,57,88,83,114,146
map80.jpg,216,52,242,78,138
map81.jpg,16,111,42,137,130
map81.jpg,44,49,70,75,46
map81.jpg,97,44,123,70,150
map81.jpg,177,75,203,101,98
map81.jpg,66,201,92,227,82
map81.jpg,119,86,145,112,57
map81.jpg,215,201,241,227,131
map81.jpg,31,176,57,202,94
map81.jpg,148,72,174,98,146
map81.jpg,27,67,53,93,138
map82.jpg,47,74,73,100,62
map82.jpg,160,205,186,231,148
map82.jpg,23,93,49,119,145
map82.jpg,18,64,44,90,48
map82.jpg,133,36,159,62,16
map82.jpg,102,129,128,155,51
map82.jpg,95,41,121,67,154
map82.jpg,186,23,212,49,23
map82.jpg,170,38,196,64,83
map82.jpg,18,78,44,104,128
map83.jpg,61,151,87,177,62
map83.jpg,185,42,211,68,148
map83.jpg,78,198,104,224,145
map83.jpg,71,96,97,122,48
map83.jpg,71,187,97,213,16
map83.jpg,41,96,67,122,51
map83.jpg,106,32,132,58,154
map83.jpg,22,61,48,87,23
